age_bin,probability
04 and under,0.047213761088458144
05 to 09 years,0.06394493711566929
10 to 14 years,0.06276819295985649
15 to 19 years,0.061851113545071244
20 to 24 years,0.06588965000157329
25 to 29 years,0.06348218854616948
30 to 34 years,0.0605753010204065
35 to 39 years,0.05475031639809301
40 to 44 years,0.05737642392564193
45 to 49 years,0.06242646020143135
50 to 54 years,0.0733500968124571
55 to 59 years,0.0753124543221016
60 to 64 years,0.06867142598529989
65 to 69 years,0.059644503974862796
70 to 74 years,0.04687868197536874
75 to 79 years,0.0383410042321978
80 to 84 years,0.037523487895341344
